TRAP,TopoID,BLG_Name,Source,SomethingPresentOntheGround,Notes,Date,Excav,Certainty,Length,Width,Height,RT_number,CRM,Necropolis,Landuse_AroundRS,Landuse_TopRS,
8078,200034,DOESN'T EXIST,TOPO50,nothing,"map sunburst icon on ridge with some disrupted terrain, nothing found on GC, destroyed",,,,NA,NA,NA,NA,NA,,Scrub,Scrub,
8080,200035,DOESN'T EXIST,TOPO50,nothing,"sunburst icon in field next to road, destroyed before 2001 or never existed",,,,NA,NA,NA,NA,NA,,Annual agriculture,Annual agriculture,
8087,200039,DOESN'T EXIST,TOPO50,nothing,long extinct or topo error (50m SE from this spot looks moundlike) 50:50,,,,NA,NA,1 acc to topomap,NA,NA,,Scrub,Scrub,
8099,200076,DOESN'T EXIST,GC,nothing,long extinct or topo error 50:50,10-Nov,NO,,NA,NA,1 acc to topomap,None,5,0,Annual agriculture,Annual agriculture,
8066,200077,DOESN'T EXIST,GC,nothing,long extinct or topo error 50:50,10-Nov,NO,,NA,NA,2 acc to topomap,None,5,0,Annual agriculture,Annual agriculture,
8068,200082,DOESN'T EXIST,TOPO50,tell,"settlement mound, excavated by Todor, near highway, but point is 300 m SE of the map point, still between reservoirs but more to the south. NEEDS TRAP ID",8-Nov,YES,CR,70,60,1 acc to topomap,NA,2,,Annual agriculture,Annual agriculture,
8069,200086,DOESN'T EXIST,TOPO50,nothing,"site eliminated, highway, visible in  2005-2009 GEarth, NEEDS TRAP ID",8-Nov,YES,CR,30,30,3 acc to topomap,NA,5,,Annual agriculture,Annual agriculture,
8070,200087,DOESN'T EXIST,TOPO50,nothing,"site eliminated, highway, not visible in  2005-2009 GEarth, NEEDS TRAP ID",8-Nov,YES,UN,NA,NA,1 acc to Topomap,NA,NA,,Other,Other,
8071,200088,DOESN'T EXIST,TOPO50,nothing,"site eliminated, highway, visible in  2005-2009 GEarth, NEEDS TRAP ID",8-Nov,YES,CR,35,35,5; 7 acc to topomap,NA,5,,Pasture,Pasture,
8094,200606,military bunker,TOPO50,bunker,"military bunker, site eliminated, black rayed square symbol",18-Nov,NO,CR,NA,NA,3 acc to atlas,None,6,0,Pasture,Pasture,
8072,200668,"Dobrudzhonoka mogila, DOESN'T EXIST any more",TOPO50,bunker,military bunker in place of a mound with a name and height of 4 m in topo50 map,18-Nov,NO,CR,NA,NA,4 acc to atlas,None,6,0,Pasture,Scrub,
8089,200912,DOESN'T EXIST,TOPO50,nothing,"not found, totally destroyed or never existed, military area in a forest, building in the expected mound location; NEEDS TRAP ID",17-Nov,,UN,NA,NA,2 acc to topomap,NA,NA,,Forest,Forest,
9454,200920,DOESN'T EXIST,TOPO50,nothing,"not found, eliminated before 2001, not in sat img (some crop marks in 2014), GC marked as completed in 2010",18-Nov,0,0,NA,NA,2 acc to atlas,None,6,0,Annual agriculture,Annual agriculture,
8051,200614,0,TOPO50,mound,0,17-Nov,NO,CR,35,25,2,1,3,0,Annual agriculture,Annual agriculture,
8056,201530,0,TOPO50,mound,0,17-Nov,NO,CR,40,40,4.5,4,2,0,Not in kmz,Not in kmz,
8057,200663,0,TOPO50,mound,in the real forest,17-Nov,NO,CR,35,35,1.8,1,2,0,Forest,Forest,
8058,200661,0,TOPO50,mound,0,17-Nov,NO,CR,25,25,1.5,1,1,0,Scrub,Pasture,
8059,200662,0,TOPO50,mound,0,17-Nov,NO,CR,30,30,1.5,1,1,0,Scrub,Scrub,
8060,200664,0,TOPO50,mound,0,17-Nov,NO,CR,40,40,1.5,1,5,0,Scrub,Scrub,
8061,200665,DOESN'T EXIST,TOPO50,nothing,"sunburst symbol, scrubby area, next to 200664, nothing found",,NO,CR,NA,NA,2 acc to topomap,NA,NA,,Scrub,Scrub,
8062,200613,DOESN'T EXIST,TOPO50,nothing,"in scrub and forest near Kamennite site probably eliminated, modern structures visible in Satimg but no crop or soilmark",,NO,CR,NA,NA,2 acc to topomap,NA,NA,,Scrub,Scrub,
8063,200612,ATTEMPTED BUT FAILED,TOPO50,nothing,"in scrub, near Kamennite site probably eliminated, modern structures visible in Satimg but no crop or soilmark",17-Nov,NO,CR,NA,NA,3 acc to topomap,NA,NA,,Scrub,Scrub,
8064,200901,kurgan Kamennite-Mogila ATTEMPTED BUT FAILED,TOPO50,nothing,"crater-like feature, 35 m wide visible in satimg. no access, probable mound, dimensions from satellite image",17-Nov,,,35,35,3 acc to topomap,NA,6,,Scrub,Scrub,
8065,200903,Borsucha mogila,TOPO50,waterhouse,"waterhouse, mound totally extinct. scrubby surround.",17-Nov,,UN,NA,NA,3 acc to topomap,NA,5,,Scrub,Scrub,
9010,0,0,GC,waterhouse,waterhouse,23-Oct,NO,UN,22,23,3,None,5,,Forest,Pasture,
9011,0,0,GC,transmitter,next to transmitter,23-Oct,NO,CR,28,28,2,2,3,,Pasture,Pasture,
9012,0,0,GC,waterhouse,waterhouse,23-Oct,NO,UN,31,15,1.5,None,5,,Pasture,Pasture,
9013,0,0,GC,mound,probably used by army,23-Oct,NO,CR,24,23,2,1,2,,Pasture,Pasture,
9014,0,0,GC,mound,"cut in the middle by fence, one half belongs to privat yard",23-Oct,NO,CR,13,23,2,1,5,,Urban,Pasture,
9015,200158,0,TOPO50,mound,"destroyed by agriculture, Yavor - originally was diam 30, h.1.5 m",23-Oct,NO,CR,50,30,0.5,None,5,,Annual agriculture,Annual agriculture,
9016,200157,0,TOPO50,mound,destroyed by agriculture,23-Oct,NO,CR,30,20,0.3,None,5,,Annual agriculture,Annual agriculture,
9017,200159,0,TOPO50,mound,dirt road cut the mound in the middle,23-Oct,NO,CR,40,50,1.8,None,5,,Pasture,Pasture,
9018,200155,0,TOPO50,mound,trench with stones - Roman?,23-Oct,NO,CR,35,35,1.5,1,5,,Annual agriculture,Annual agriculture,
9019,200154,0,TOPO50,mound,probably robbed and again covered with soil,23-Oct,NO,CR,20,15,1,2,5,,Annual agriculture,Annual agriculture,
9020,200156,0,TOPO50,mound,"destroyed by agriculture, hard to distinguish measures",23-Oct,NO,CR,50,60,1.5,None,5,,Annual agriculture,Annual agriculture,
9021,0,0,GC,mound,looks like Thracian pottery,23-Oct,NO,CR,25,25,1.5,None,5,,Annual agriculture,Annual agriculture,
9022,0,0,GC,mound,1 RT very fresh,23-Oct,NO,CR,30,30,1.5,2,3,,Annual agriculture,Scrub,
9023,200145,0,TOPO50,mound,,23-Oct,NO,CR,30,30,2,None,5,,Annual agriculture,Annual agriculture,
9024,200144,0,TOPO50,nothing,nothing found in the field,23-Oct,NO,UN,NA,NA,1 acc to topomap,None,NA,,Scrub,Scrub,
9025,0,0,GC,mound,11 holes from animals on the top,23-Oct,NO,CR,25,30,2,None,3,"9026, 9027",Scrub,Scrub,
9026,200356,0,TOPO50,mound,,23-Oct,NO,CR,35,35,1.5,None,1,"9025, 9027",Scrub,Scrub,
9027,200355,0,TOPO50,mound,"4 holes from animals, next to the graveyard, SE part partly removed",23-Oct,NO,CR,40,40,4,None,1,"9025, 9026",Scrub,Scrub,
9028,200351,3 mogili,TOPO50,mound,"lot of RT's, all of them old and shallow",23-Oct,NO,CR,40,40,8,MANY,3,"9029, 9030",Annual agriculture,Pasture,
9029,0,3 mogili,GC,mound,"1 new trench, top soil of the mound messed up",23-Oct,NO,CR,40,40,8,5,4,"9028, 9030",Annual agriculture,Pasture,
9030,200352,3 mogili,TOPO50,mound,"twice hit by buldozer, totally robbed",23-Oct,NO,CR,60,60,7,3,5,"9028, 9029",Annual agriculture,Pasture,
9037,200147,0,TOPO50,mound,"stones, 37 x 20",24-Oct,NO,CR,32,32,2.5,None,1,,Pasture,Scrub,
9038,0,0,GC,mound,"mnd with scrub on top and grass around, scrub is 25 m across in GoogleEarth. Height filled from photo",24-Oct,NO,CR,25,25,1.3,1,4,,Annual agriculture,Scrub,
9039,0,0,GC,mound,,24-Oct,NO,CR,15,20,0.4,None,5,,Annual agriculture,Annual agriculture,
9040,200148,0,TOPO50,mound,"stones, 35 x 30",24-Oct,NO,CR,30,30,2.2,None,1,,Annual agriculture,Pasture,
9041,0,0,GC,pile of stones,"suspicious feature, lozenge shaped pile of stones in ploughed agr field, 1 huge (1 x 0.8). Fieldstones or extinct mound?",24-Oct,NO,UN,25,12,1,1,5,,Annual agriculture,Scrub,
9042,0,0,GC,mound,"recent remains of small house in SW corner, bones from animal, huge stones (1.8 x 1.0), impressive place",24-Oct,NO,UN,50,50,0.1,None,5,,Annual agriculture,Scrub,
9043,200143,0,GC,mound,top of the hill in dense forest,24-Oct,NO,CR,30,30,1.5,1,5,,Forest,Forest,
9044,200142,0,TOPO50,mound,"thracian mound according to filling, inside stones, looks like grave",24-Oct,NO,CR,50,60,6,2,5,"9045, 9046",Forest,Scrub,
9045,0,0,GC,pile of stones,"huge stones in grassland enclosed by scrub, with trenches around",24-Oct,NO,CR,NA,NA,2,1,5,"9044, 9046",Forest,Scrub,
9046,0,0,GC,mound,"small trench on the top of small mound, next to 2 big ones",24-Oct,NO,UN,10,10,1,1,5,"9044, 9045",Forest,Scrub,
9048,200310,NO,TOPO50,mound,destroyed by ploughing,24-Oct,NO,CR,25,25,0.8,None,5,"9049, 9050",Annual agriculture,Annual agriculture,
9049,200312,NO,TOPO50,mound,destroyed by ploughing,24-Oct,NO,CR,50,50,3,None,5,"9048, 9050",Annual agriculture,Annual agriculture,
9050,200311,NO,TOPO50,mound,destroyed by ploughing,24-Oct,NO,CR,40,40,3 acc to topomap,None,5,"9048, 9049",Annual agriculture,Annual agriculture,
9051,200346,Miladinovtsi,TOPO50,nothing,"doesn't look like mound at all, just end of the field, pasture all over. Look further to NW on next visit.",24-Oct,NO,UN,NA,NA,2 acc to topomap,None,2,,Pasture,Pasture,
9052,200347,Miladinovtsi,TOPO50,tell,in agr field; according to Topo50 it is a mound but there is a prehistoric scatter no 6036; perhaps it was a settlement mound that was ploughed up; footprint visible in SatImg on 2019/08/06 is 144m across,24-Oct,NO,UN,140,120,1 acc to map,None,5,,Annual agriculture,Annual agriculture,
9054,200359,General Inzovo,TOPO50,mound,ploughed field around,25-Oct,NO,CR,35,35,3.5,None,2,"9055, 9056, 9057, 9058, 9059, 9060",Annual agriculture,Pasture,
9055,0,General Inzovo,GC,mound,,25-Oct,NO,UN,35,35,2,None,2,"9054, 9056, 9057, 9058, 9059, 9060",Annual agriculture,Pasture,
9056,0,General Inzovo,GC,mound,,25-Oct,NO,CR,20,20,1.2,None,5,"9054, 9055, 9057, 9058, 9059, 9060",Annual agriculture,Annual agriculture,
9057,0,General Inzovo,GC,mound,"soilmark in agr. field visible in SatImg 2019/01/30, destroyed by ploughing, footprint ca 15m across",25-Oct,NO,CR,15,15,0.2,None,5,"9054, 9055, 9056, 9058, 9059, 9060",Annual agriculture,Annual agriculture,
9058,0,General Inzovo,GC,mound,destroyed by ploughing,25-Oct,NO,CR,28,30,0.5,None,5,"9054, 9055, 9056, 9057, 9059, 9060",Annual agriculture,Annual agriculture,
9059,0,General Inzovo,GC,mound,,25-Oct,NO,CR,35,35,0.5,None,5,"9054, 9055, 9056, 9057, 9058, 9060",Annual agriculture,Annual agriculture,
9060,200360,General Inzovo,TOPO50,mound,road cuts eastern side of the mound,25-Oct,NO,CR,30,30,4,None,4,"9054, 9055, 9056, 9057, 9058, 9059",Pasture,Other,
9061,200364,Yankova mogila,TOPO50,mound,road goes through the middle of the mound,25-Oct,NO,CR,40,50,1,None,5,NO,Annual agriculture,Other,
9062,0,0,GC,mound,"1 unsignificant fragment of pottery, GPS point moved (don't consider it)",25-Oct,NO,CR,35,35,1,None,5,"9063, 9064",Annual agriculture,Annual agriculture,
9063,0,0,GC,mound,,25-Oct,NO,CR,40,35,1,None,5,"9062, 9063",Annual agriculture,Annual agriculture,
9064,200367,Lozenska mogila,TOPO50,mound,"1 RT on the top, concrete in, 1 RT next to mound - looking for chariot?",25-Oct,NO,CR,60,60,6,2,5,"9062, 9063",Annual agriculture,Scrub,
9065,200358,0,TOPO50,mound,western part of the mound cut by the road,25-Oct,NO,CR,40,30,2,None,5,NO,Annual agriculture,Annual agriculture,
9066,0,0,GC,mound,"secondary digged medieval grave, stony structure uncovered (stones 10 x 15)",25-Oct,NO,CR,40,40,3,2,5,NO,Annual agriculture,Annual agriculture,
9067,200363,0,TOPO50,mound,"fence around, cross on the top",25-Oct,NO,CR,22,22,1.7,None,2,NO,Perennial agriculture,Pasture,
9068,200362,0,TOPO50,mound,,26-Oct,NO,CR,40,40,0.5,None,5,NO,Annual agriculture,Annual agriculture,
9069,200914,0,TOPO50,mound,on the top of the hill,26-Oct,NO,CR,30,30,2,None,4,0,Scrub,Pasture,
9070,200316,Haidushka,TOPO50,mound,"on the top of the hill, length and width filled from 2001 sat img where outlines visible",26-Oct,NO,UN,30,30,2 acc to topomap,None,5,0,Forest,Forest,
9071,200315,0,TOPO50,mound,,26-Oct,NO,CR,60,30,2,1,5,0,Pasture,Pasture,
9072,200130,0,TOPO50,mound,vineyard,26-Oct,NO,CR,60,40,2,None,5,0,Perennial agriculture,Perennial agriculture,
9073,200136,0,TOPO50,mound,on the top of the hill,26-Oct,NO,CR,40,30,4,2,4,"9074, 9075",Scrub,Scrub,
9074,0,0,GC,mound,"on the top of the hill, waterhouse",26-Oct,NO,UN,20,20,2,None,5,"9073, 9075",Scrub,Scrub,
9075,0,0,GC,mound,"on the top of the hill, waterhouse",26-Oct,NO,UN,20,20,2,None,5,"9073, 9076",Scrub,Scrub,
