identifier,uuid.x,createdBy,Date,Type,Type_Adela,Source,DescriptionOfMoundOrLocale,LanduseAroundMound,LanduseOnTopOfMound,Prominence,Latitude,Longitude,Northing,Easting,Accuracy,HandheldGPSPoint,Elevation,FacingDirectionForPhoto,Notes,Photo,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,ShapeNotes,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn,uuid.y
8106,1.00E+18,Bara Weissova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Perennial agriculture (e.g orchard or vineyard),Valley Bottom or Plain,42.40970772,26.24783206,4695541.229,438108.2628,3,8,NA,North,camera photo,files/app/9a543a6c-5890-42eb-bdbe-f35a35369cf8_image-1505104267136.original.jpg,1.5,55,NA,50,p,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,3 - impaired,Agriculture,Last year,NA,NA,NA,POINT(438108.262782 4695541.229061),10000215051000001e17
8107,1.00E+18,Bara Weissova,11-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.3880455,26.189618,4693179.962,433295.1802,3,9,NA,West,NA,files/app/de02516a-ef19-45d1-88a2-58d28758d15c_image-1505106149927.original.jpg,0.3,20,NA,11,NA,NA,NA,NA,No,NA,NA,4 - seriously damaged,Looting,agriculture,5- none or nearly none,Looting,Unknown,NA,NA,files/app/721f3fa3-0f9b-4699-8ebf-8a0430e54121_image-1505106070736.original.jpg - files/app/e1f3ebe6-4ae3-41ab-842d-2ade8b56cd3a_image-1505106103727.original.jpg,POINT(433295.180156 4693179.961652),1.00E+33
8109,1.00E+18,Bara Weissova,11-Sep,Uncertain Mound,Extinct Burial Mound,Survey,NA,Annual agriculture,Scrub,Valley Bottom or Plain,42.38807485,26.18645587,4693185.708,433034.9264,3,11,NA,West,NA,files/app/46fee0d1-1e3a-4864-96e1-2d5b78836551_image-1505107839315.original.jpg,0.2,20,0,12,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Looting,agriculture; plenty of stones within looking like someone excavated and left them there,5- none or nearly none,Looting,Unknown,NA,NA,NA,POINT(433034.926359 4693185.707691),1.00E+33
8110,1.00E+18,Bara Weissova,11-Sep,Burial Mound,Burial Mound,Survey,NA,Annual agriculture,Annual agriculture,Valley Bottom or Plain,42.39869179,26.18602103,4694364.93,433010.4254,3,12,NA,North,NA,files/app/85a523db-1c6c-4b49-a238-cfcacd4af0bf_image-1505109587301.original.jpg,1.8,35,NA,40,NA,NA,NA,NA,No,NA,NA,3 - damaged,Agriculture,NA,4 - minimal,Agriculture,Last year,NA,NA,NA,POINT(433010.425364 4694364.929879),1.00E+33
8117,1.00E+18,Bara Weissova,11-Sep,Extinct Burial Mound,Extinct Burial Mound,Legacy verification,heap of stones in middle of field,Annual agriculture,Pasture (grassland),Valley Bottom or Plain,42.38115279,26.19148582,4692413.15,433441.6458,3,19,NA,East,NA,files/app/c5c921a4-e554-4949-acb2-10653cdf4e22_image-1505121577286.original.jpg,0,15,NA,5,NA,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,Agriculture,NA,5- none or nearly none,Agriculture,Last year,NA,NA,NA,POINT(433441.645844 4692413.149706),10000215051200003e17
8129,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.42725522,26.65888508,4697272.01,471939.4245,3,31,NA,South,NA,files/app/f108b237-6842-42ff-99d1-d66cf746e9ce_image-1505282913342.original.jpg,4,30,NA,30,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,NA,3 - impaired,Looting,Last year,"01, rectangle,15,5,3, manual excavation",Pepsi bottle dates last looting at 2015-16.,files/app/a0bfdff8-b533-4b2b-a9bb-2b0bf8f18cbb_image-1505283069257.original.jpg - files/app/c65cbd92-b46f-412b-9555-a35e852b3626_image-1505282827573.original.jpg,POINT(471939.424513 4697272.009501),10000215052800003e17
8130,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Survey,NA,Pasture (grassland),Pasture (grassland),Valley Bottom or Plain,42.42704147,26.65917435,4697248.18,471963.125,3,32,NA,South,NA,files/app/4ed530f3-50f5-4cb4-a926-60228148d418_image-1505283742747.original.jpg,2.5,35,NA,30,NA,NA,NA,NA,No,NA,NA,3 - damaged,Looting,potential road cut,2 - good,Looting,Unknown,"01,rectangle,1.5,1, 0.5,manual excavation; 02,rectangle,3,2, 0.5, manual excavation",NA,files/app/042b6a64-79be-474d-bcb3-1ed95c8bc5d6_image-1505283672023.original.jpg - files/app/d14f3c77-c8b7-4112-9570-795c57d98e8c_image-1505283852350.original.jpg,POINT(471963.124999 4697248.179696),10000215052800003e17
8131,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Pasture (grassland),Pasture (grassland),Hilltop,42.42983191,26.66345402,4697556.618,472316.4059,3,33,NA,Southeast,"local hilltop, overlooking Pobeda",files/app/172d072c-39eb-43cd-b3d4-57b293956a34_image-1505285099623.original.jpg,1.8,30,NA,25,NA,NA,Other,"white mortar in the animal hole, prove of a disturbed grave",No,NA,NA,4 - seriously damaged,Looting,construction and animal activity,4 - minimal,Looting,Unknown,"01,rectangle, 10,4, 1.5, manual excavation; 02,irregular, 4,2, 1.8,hole; 03, rectangle, 10,4, 1.8, manual excavation",NA,files/app/29490ab6-1832-499f-9a28-7622edf7d948_image-1505285290906.original.jpg - files/app/42b50fe4-6bc9-41f9-8fbf-da8641996409_image-1505285249871.original.jpg - files/app/720086ea-a07f-4886-bf69-40dde5e043ff_image-1505285215005.original.jpg,POINT(472316.40587 4697556.618444),10000215052800003e17
8132,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,kurgan Dzhibunyaka,Pasture (grassland),Pasture (grassland),Hilltop,42.43187987,26.66368417,4697783.944,472336.2387,3,34,279.9,West,"located in a military base, general allowed us to record it but without taking pictures",files/app/337f75ab-5c63-4451-8e29-fa74645cd61b_image-1505286237015.original.jpg,4.5,35,NA,35,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Construction,NA,1 - full,Other (specify in Annotation) (military watch tower),Unknown,NA,watchtower on top,NA,POINT(472336.238714 4697783.94358),10000215052899998e17
8133,1.00E+18,Bara Weissova,13-Sep,Burial Mound,Burial Mound,Legacy verification,NA,Other (explain in notes),Other (explain in notes),Hilltop,42.42313179,26.6553268,4696815.336,471644.8571,3,35,244.6,South,graveyard,files/app/4749f4b5-62ab-4719-b05b-efbae2920841_image-1505287549635.original.jpg,1,45,NA,40,NA,NA,NA,NA,No,NA,NA,2 - minor damage,Other,NA,2 - good,Other (specify in Annotation) (graveyard ),Last year,NA,human activity due to location next to village,files/app/bb15a942-6e2e-4216-a08d-aed6ad0b7934_image-1505287459223.original.jpg,POINT(471644.857138 4696815.336412),10000215052899998e17
