TRAP,AKB,Area,Notes
8048,2700001,Borisovo,
9200,2700063,Yambol,
8356,2700064,Yambol,
8351,2700065,Yambol,second TRAP number 9227
9227,2700065,Yambol,second TRAP number 8351
8353,2700066,Yambol,second TRAP number 9257
9257,2700066,Yambol,second TRAP number 8353
8352,2700067,Yambol,second TRAP number 9258
9258,2700067,Yambol,second TRAP number 8352
9167,2700068,Yambol,
8354,2700069,Yambol,
8355,2700070,Yambol,
8431,2700072,Zavoy,
8430,2700073,Zavoy,
8519,2700083,Popovo,
8651,2700086,Pchela,
8652,2700087,Pchela,
8167,2700113,Saransko,
8169,2700114,Saransko,
8773,2700115,Polyana,
9903,2700116,Aleksandrovo,
9904,2700117,Aleksandrovo,
8774,2700118,Polyana,
9979,2700119,Straldzha,
9978,2700120,Straldzha,
9977,2700122,Straldzha,
9976,2700123,Straldzha,
9974,2700124,Straldzha,
9973,2700125,Straldzha,
9975,2700126,Straldzha,
9971,2700127,Straldzha,
9970,2700128,Straldzha,
9968,2700129,Straldzha,
8147,2700130,Straldzha,
8148,2700131,Straldzha,
9175,2700132,Bezmer,
9174,2700133,Bezmer,
9171,2700134,Bezmer,
9172,2700135,Bezmer,
9173,2700136,Bezmer,
9170,2700137,Bezmer,
9169,2700138,Bezmer,
9168,2700139,Bezmer,
9179,2700140,Bezmer,
9180,2700141,Bezmer,
9178,2700142,Bezmer,
8039,2700147,Borisovo,
8045,2700148,Borisovo,
8047,2700149,Borisovo,Excavated by Neli Tancheva
8043,2700151,Borisovo,Excavated by Daniela Agre
8049,2700152,Borisovo,
8374,2700191,Lozenets,
8369,2700193,Lozenets,
8370,2700194,Lozenets,
8371,2700195,Lozenets,
8379,2700196,Lozenets,
8377,2700197,Lozenets,
8381,2700198,Lozenets,
8366,2700199,Lozenets,
8375,2700200,Lozenets,
8364,2700202,Lozenets,
8372,2700203,Lozenets,
8363,2700204,Lozenets,
8362,2700205,Lozenets,
8434,2700216,Mogila,second TRAP number 9216
9216,2700216,Mogila,second TRAP number 8434
8358,2700219,Mogila,
8348,2700220,Mogila,Excavated by Piotr - Rome; second TRAP number 9223
9223,2700220,Mogila,second TRAP number 8348
8357,2700221,Mogila,Excavated by Volker EBA; second TRAP number 9220
9220,2700221,Mogila,second TRAP number 8357
8345,2700222,Mogila,Excavated by Ilia EBA
8349,2700226,Mogila,Excavated by Piotr - Rome; second TRAP number 9222
9222,2700226,Mogila,second TRAP number 8349
9217,2700229,Mogila,
9215,2700230,Mogila,
9191,2700231,Mogila,
9190,2700232,Mogila,
9689,2700235,Popovo,
8689,2700263,Straldzha,
8155,2700264,Straldzha,
8146,2700265,Straldzha,
8156,2700266,Straldzha,
9196,2700269,Charda,
9195,2700271,Charda,
6000,2700280,Karavelovo,
6001,2700281,Karavelovo,
6002,2700282,Karavelovo,
6003,2700283,Karavelovo,
6006,2700284,Karavelovo,
6005,2700285,Karavelovo,
6004,2700286,Karavelovo,
6009,2700287,Boyanovo,Excavated by Ilia Iliev EBA
6010,2700288,Boyanovo,
9357,2700289,Boyanovo,Excavated by Daniela Agre EBA
6012,2700290,Boyanovo,
6013,2700291,Boyanovo,
6015,2790000,Borisovo,
6016,2790001,Borisovo,
6017,2790002,Borisovo,
6019,2790004,Karavelovo,
6020,2790005,Karavelovo,
6022,2790007,Robovo,
6023,2790008,Stroyno,
6024,2790009,Stroyno,
6025,2790010,Stroyno,
8203,2790014,Karavelovo,
7002,2790015,Karavelovo,
7003,2790016,Karavelovo,
7004,2790017,Boyanovo,Excavated by Ilia Iliev 
7005,2790018,Boyanovo,Excavated by Daniela Agre
7006,2790019,Stroyno,
7007,2790020,Slamino,
7010,2790022,Robovo,
7011,2790023,Robovo,
7012,2790024,Robovo,
7013,2790025,Robovo,
7014,2790026,Robovo,
7016,2790027,Robovo,
7017,2790028,Robovo,
7018,2790029,Robovo,
8000,2790032,Karavelovo,
8004,2790033,Karavelovo,
8006,2790035,Karavelovo,
8007,2790036,Boyanovo,Excavated by Ilia Iliev EBA
8008,2790037,Boyanovo,
8009,2790038,Boyanovo,
7021,2790039,Robovo,
7022,2790045,Robovo,
8013,2790048,Slamino,
8014,2790049,Slamino,
8015,2790050,Slamino,
8017,2790051,Robovo,
9713,10000427,Gorska polyana,
9714,10000429,Gorska polyana,
9707,10000430,Gorska polyana,
9715,10000432,Gorska polyana,
9734,10000436,Golyamo Krushevo,
8549,10000437,Oman,
8686,10000542,Straldzha,
8386,10000665,Lozenets,
9065,10000740,General Inzovo,
9067,10000741,General Inzovo,
8273,10000779,Malko Sharkovo,
9083,10000903,Bolyarsko,
9085,10000904,Bolyarsko,
9086,10000905,Bolyarsko,
9087,10000906,Bolyarsko,
9013,10000907,Botevo,Excavated by Stefan Bakardzhiev 
9011,10000908,Botevo,
9014,10000909,Botevo,
9015,10000910,Botevo,
9016,10000911,Botevo,
9017,10000912,Botevo,
9018,10000913,Botevo,
9019,10000914,Botevo,
9020,10000915,Botevo,
9021,10000917,Botevo,
9022,10000918,Botevo,
9023,10000919,Botevo,
9037,10000921,Botevo,
9038,10000922,Botevo,
9039,10000923,Botevo,
9040,10000924,Botevo,
9043,10000925,Botevo,
8685,10001125,Malenovo,
9193,10001210,Dzhinot,
9194,10001211,Dzhinot,
9110,10001212,Galabintsi,
