TopoID,Notes,LU_Around,LU_top,RS_Status,RS_feature_type,Source,Length,Width,AtlasHeight,Atlas_page,RT_number,CRM,Elevation,Needs_GC,AS_feedback,RS_note,2001,2003,2004,2005,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Stephanie_Notes,Honza_Notes,Tatjana_Notes
200000,"mound visible in 2001, destroyed by photovoltaic in 2013",Pasture,Scrub,"TP - mound recognized clearly in imagery, either current, or some historical image.",Cropmark,Atlas of Yambol Mounds,30,30,1,p.3,"uncertain, smudged",5,,,LU ok,photovoltaic field,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",destroyed by photovoltaic in the course of 2013,,
200001,,Perennial,Pasture,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,37,34,1,p.3,"uncertain, smudged",2,,,LU ok,nice mound in perennials by the Sliven road,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200003,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,,4,,,LU ok,field pile of stone,,,,,,,,,X - no new capture this year,,,,,,Cannot identify site,,
200004,,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Cropmark,Atlas of Yambol Mounds,15,10,2,p.3,,5,,,LU ok,spot in the field - a low or extinct mound,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200005,,Annual,Annual,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,40,40,3,p.3,,1,,,LU ok,massive mound,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column",,,
200006,,Annual,Annual,"TP? - moundlike feature or soilmark, somewhat uncertain, or offset",Soilmark,Atlas of Yambol Mounds,45,45,2,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016",? = maybe something unsure,X - no new capture this year,X - no new capture this year,? = maybe something unsure,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",X - no new capture this year,X - no new capture this year,,,
200007,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,NA,p.3,"uncertain, smudged",NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016","N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",,,
200008,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016","N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",,,
200009,robbed,Annual,Other,"TP - mound recognized clearly in imagery, either current, or some historical image.",Surface feature,Atlas of Yambol Mounds,20,20,2,p.3,one 10m in diameter observed in GE,4,,,LU ok,excavated or heavily robbed mound,"N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column","Y = yes, visible in the same form as indicated in RS Feature column",X - no new capture this year,X - no new capture this year,,,
200010,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,3,p.3,inside a giant vegetable or perennial field,NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016","N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",X - no new capture this year,,,
200011,,Annual,Annual,"FP = no sign of a mound here in 2016 (most recent layer), either mound never existed (error in Russian topo maps), or it is elsewhere (precision error), or it has been removed in the last 20 years and there is no measurable entity left on the ground",None visible,Atlas of Yambol Mounds,NA,NA,1,p.3,"uncertain, smudged",NA,,,LU ok,"FP, nothing visible in Google Earth at given location in July 2016","N = no, not visible this year",X - no new capture this year,X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year",X - no new capture this year,"N = no, not visible this year","N = no, not visible this year","N = no, not visible this year","N = no, not visible this year","N = no, not visible this year",,,
