TopoID,TopoNote,TRAP,Source,Type,LanduseAround,LanduseOnTop,Date,DiameterMax_m,HeightMax_m,Condition,PrincipalSourceOfImpact,AllNotes,DistTown_m,DistTownBoundary_m,ElevAster_m,SlopeAster_degrees,AspectAster,TRI,TPI,Roughness,Prominence_at250m,TypeCertainty,DistBG_m,AKB,AKBArea,AKBNotes,X,Y,,
200016,NA,9411,Survey,Burial Mound,Scrub,Scrub,2010-11-07,15,1.5,2,Nodata,NA,1806.6578942182,1806.6578942182,242.052322387695,3.52769328105371,133.309002373161,1.29536437988281,0.570819854736328,4.60934448242188,7.17,Certain,61029.4984344798,10001492,Drazhevo,NA,4706736.7735,453727.1017,,
200018,NA,9416,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,20,2,3,Agriculture,part of the north  slope was ploughted,1303.85116865854,1303.85116865854,187.927032470703,3.08884106388141,57.23310616901,1.18449783325195,-0.268646240234375,3.8489990234375,43.48,Certain,62182.7774985861,10001486,Hadzhidimitrovo,NA,4707739.1148,452999.1197,,
200019,NA,9417,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,15,2,4,Looting,"S part was mainly ploughted, 50 % of the mound was destroyed",1276.73450712851,1276.73450712851,185.948318481445,3.12040073241398,53.8955957258628,1.00713157653809,-9.5367431640625E-06,4.00489807128906,12.04,Certain,62264.9082053407,10001487,Hadzhidimitrovo,NA,4707823.482,452996.9503,,
200020,NA,9409,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,30,2,2,Agriculture,bioturbation,1486.64146299416,1486.64146299416,215,0.548504650509597,53.7310184086826,0.175981521606445,0.175981521606445,0.800994873046875,11.15,Certain,61452.6569966341,10001371,Drazhevo,NA,4707387.6436,454596.0148,,
200022,NA,9314,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,30,2,5,Looting,20 m north from the mound a big RT,1502.02543597956,1502.02543597956,227.649719238281,3.66911749976234,111.89456232604,1.19876670837402,0.228139877319336,4.38525390625,67.27,Certain,60782.5230359833,10001488,Drazhevo,NA,4706446.6945,453591.2748,,
200023,NA,9315,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,20,1,2,Looting,covered by scrub,1564.92375563472,1564.92375563472,210.40885925293,2.56961727425888,155.012258016591,1.0532398223877,-0.297246932983398,3.66519165039063,77.14,Certain,60717.6140612722,10001489,Drazhevo,NA,4706455.1565,453884.8248,,
200024,NA,9415,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,25,1,5,Agriculture,ploughed over,745.285821526984,745.285821526984,212.115921020508,1.52114018021304,142.839035444151,0.57664680480957,-0.0315570831298828,2.14071655273438,17.58,Certain,60184.9426400062,10001485,Hadzhidimitrovo,NA,4705682.3939,453042.7758,,
200025,NA,9418,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-07,50,6,2,Looting,"S-N trench with tube, 2 m near mound",309.609048721736,309.609048721736,177.847686767578,3.37256600292791,14.9545085547129,1.40701866149902,0.263307571411133,4.04248046875,67.87,Certain,62447.803683062,10001374,Drazhevo,NA,4708542.0055,455169.225,,
200026,NA,9319,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,15,1,3,Agriculture,plughed over, Bara:ploughed over,255.701252555989,255.701252555989,183.146301269531,2.61614399313191,291.092535312105,0.87005615234375,0.079010009765625,2.92463684082031,65.95,Certain,62718.1614317085,10001370,Drazhevo,NA,4708632.5212,454360.7674,
200029,NA,9431,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-10,20,2,5,Looting,one big trench  10x10,1006.10100551009,1006.10100551009,144.019638061523,3.48797248672855,353.33449942734,1.40973472595215,0.701471328735352,4.79083251953125,83.09,Certain,64932.4533534128,10001377,Drazhevo,Excavated by Ilia Iliev,4711124.5897,455348.259,,
200080,NA,9430,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-10,10,NA,5,Looting,"one  big trench 9x6, totally destroyed, check excavation report",966.969114437914,966.969114437914,147.041534423828,3.96685528854069,28.0820130182799,1.57444000244141,0.618412017822266,5.3402099609375,29.14,Certain,64845.7034730707,10001376,Drazhevo,Excavated by Ilia Iliev,4711056.8619,455447.0054,,
200084,NA,9427,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-08,23,NA,5,Agriculture,ploughed over,447.504740921932,447.504740921932,143.204528808594,2.59989631172572,113.657140038772,0.858280181884766,-0.112743377685547,2.96270751953125,84.73,Certain,63600.1492927837,NA,NA,NA,4710154.2866,457299.0553,,
200085,Highway,9428,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-08,NA,NA,5,Agriculture,ploughed over,449.062932326799,449.062932326799,145.938903808594,2.0783107139194,119.571344779598,0.726999282836914,0.277864456176758,2.9635009765625,73.55,Certain,63549.1118454508,10010169,Kabile,Excvated by Ivailo Lozanov,4710086.421,457213.1636,,
200089,NA,9325,Legacy verification,Extinct Burial Mound,Pasture,Pasture,2010-11-08,10,0.5,5,Looting,"absolutelly diged out, nearby landfill",339.185783630825,339.185783630825,130.991882324219,1.48971279900818,37.7490489090761,0.614833831787109,-0.3079833984375,1.9921875,69.31,Certain,63230.7688499977,10004312,Kabile,Excavated R. Mikov (LiDL),4709902.0102,457983.105,,
200090,NA,9326,Legacy verification,Burial Mound,Pasture,Pasture,2010-11-08,25,3,1,Looting,NA,636.885432116148,636.885432116148,128.849304199219,1.61992555571513,359.274174744497,0.644460678100586,-0.0630741119384766,1.852294921875,75.54,Certain,63175.9502912141,10001448,Kabile,NA,4709905.2659,458325.457,,
200091,NA,9426,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,40,0.7,5,Agriculture,agriculture destroyed,56.9944516378022,56.9944516378022,151.967559814453,1.8329616633154,43.2903162500453,0.682428359985352,-0.251096725463867,2.56015014648438,81.52,Certain,61971.9939812235,10001454,Kabile,NA,4708575.6075,457716.5261,,
200092,NA,9424,Survey,Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,10,NA,5,Nodata,"totally ploughted, just lighter spot on a field",64.3795817564158,64.3795817564158,154,1.2673848872231,88.3048761728261,0.386140823364258,-0.0680484771728516,1.07072448730469,64.16,Certain,61846.5306448345,10001452,Kabile,NA,4708448.1471,457717.0106,,
200093,NA,9425,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,20,0.5,5,Agriculture,"totally ploughted, just lighter spot on a field; Bara:soil mark on the top",128.766294976434,128.766294976434,153,0.742776853599305,110.2316538942,0.2794189453125,0.2794189453125,0.931915283203125,77.82,Certain,61838.0010034065,10001453,Kabile,NA,4708451.2914,457781.6624,,
200094,NA,9323,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,40,0.4,5,Agriculture,ploughed over, Bara:ploughed over,66.5664938767719,66.5664938767719,156.500289916992,1.36877409323047,65.4522000563541,0.468395233154297,0.0912666320800781,1.61074829101563,57.55,Certain,61606.0396437415,10001445,Kabile,NA,4708198.8668,457691.1375,
200097,NA,9419,Legacy verification,Burial Mound,Annual agriculture,Scrub,2010-11-07,25,4.5,2,Nodata,N-W from th mound was found mill stone. S-E slope of the mound was pedoturbation,828.406885032853,828.406885032853,192.353775024414,2.45574417199247,0.346883829944187,0.991867065429688,0.241783142089844,2.6561279296875,54.51,Certain,61932.2172197559,10001375,Drazhevo,NA,4708062.5047,455387.4026,,
200099,NA,9423,Legacy verification,Burial Mound,Annual agriculture,Pasture,2010-11-07,60,12,1,Nodata,NA,306.727320048005,306.727320048005,175,1.32251209202013,71.1396498545042,0.402320861816406,0.016357421875,1.74308776855469,42.18,Certain,61456.8196914244,10001451,Kabile,NA,4707887.0399,456857.7268,,
200100,NA,9324,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2010-11-07,40,1.8,3,Agriculture,ploughed over,773.107276613379,773.107276613379,143.244476318359,1.42886774476925,119.589450824929,0.469732284545898,0.0898456573486328,1.74617004394531,28.78,Certain,61146.6314175306,10001446,Kabile,NA,4707849.2077,458343.1502,,
200115,Kočomova mogila,9400,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,2017-09-20,55,1.8,2,Agriculture,"photos 6,7",1830.96371821319,1830.96371821319,150.373306274414,1.29077377105535,305.685439572292,0.522678375244141,0.241901397705078,1.63069152832031,7.55,Certain,59058.7470409671,10001216,Galabintsi,NA,4699462.7558,440587.1914,,
