TRAP,Area,Source,Type,TypeCertainty,LanduseAround,LanduseOnTop,Date,DiameterMax_m,HeightMax_m,Condition,PrincipalSourceOfImpact,TopoID,TopoNote,AllNotes,DistTown_m,DistTownBoundary_m,AsterElev_m,AsterSlope_degrees,AsterAspect,AsterTRI,AsterTPI,AsterRoughness,Prominence250m_percent,DistBG_m,AKB,AKBNotes,SpatialDuplicate,PairedID,Upto2010,Post2010,Easting,Northing
9411,Drazhevo,Survey,Burial Mound,Certain,Scrub,Scrub,2010-11-07,15,1.5,2,Nodata,200016,NA,NA,1806.657894218202,1806.657894218202,248.7207489013672,2.746016900202369,123.02698957708321,1.2557792663574219,0.75710296630859375,3.4822845458984375,71.07,61029.49843447979,10001492,NA,Unique,NA,Yes,Yes,4706736.773499999,453727.10170000046
9416,Hadzhidimitrovo,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,20,2,3,Agriculture,200018,NA,part of the north  slope was ploughted,1303.8511686585357,1303.8511686585357,192.4465789794922,4.392992387529565,83.83899903671661,1.3539924621582031,0.31786346435546875,4.184478759765625,22.94,62182.77749858609,10001486,NA,Unique,NA,Yes,Yes,4707739.114800001,452999.1196999997
9417,Hadzhidimitrovo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-07,15,2,4,Looting,200019,NA,"S part was mainly ploughted, 50 % of the mound was destroyed",1276.7345071285088,1276.7345071285088,192.14544677734375,3.2974265238134257,54.15349143764761,1.0670814514160156,0.06000518798828125,3.6099090576171875,29.29,62264.90820534068,10001487,NA,Unique,NA,Yes,Yes,4707823.482000001,452996.9502999997
9409,Drazhevo,Legacy verification,Burial Mound,Certain,Annual agriculture,Pasture,2010-11-07,30,2,2,Agriculture,200020,NA,bioturbation,1486.6414629941642,1486.6414629941642,219.12631225585938,1.6660724054459308,92.31481722529564,0.5368251800537109,0.06948661804199219,2.0512847900390625,52.33,61452.65699663408,10001371,NA,Unique,NA,Yes,Yes,4707387.6436,454596.0148
9413,Drazhevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-07,20,3,1,None,200021,NA,NA,1839.6159175320493,1839.6159175320493,235.4124298095703,4.534291158614334,95.85939890982301,1.3216705322265625,0.787261962890625,4.672515869140625,90.71,61361.363857551885,10001372,NA,Unique,NA,Yes,Yes,4707102.9986000005,453820.5407999996
9314,Drazhevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-07,30,2,5,Looting,200022,NA,20 m north from the mound a big RT,1502.025435979556,1502.025435979556,233.48228454589844,3.6623285749029577,97.26661334942142,1.2311859130859375,0.3845024108886719,3.9942779541015625,15.41,60782.52303598331,10001488,NA,Unique,NA,Yes,Yes,4706446.694499999,453591.2747999998
9315,Drazhevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-07,20,1,2,Looting,200023,NA,covered by scrub,1564.9237556347175,1564.9237556347175,215.62608337402344,5.309947287422922,160.83674183308867,2.0376434326171875,0.011516571044921875,6.3377685546875,60.22,60717.61406127223,10001489,NA,Unique,NA,Yes,Yes,4706455.1565000005,453884.8247999996
9415,Hadzhidimitrovo,Legacy verification,Burial Mound,Certain,Annual agriculture,Annual agriculture,2010-11-07,25,1,5,Agriculture,200024,NA,ploughed over,745.2858215269835,745.2858215269835,218.510986328125,2.125798294567877,195.75570487568405,1.0530853271484375,0.46477508544921875,3.798126220703125,66.08,60184.94264000621,10001485,NA,Unique,NA,Yes,Yes,4705682.3939,453042.77579999994
9418,Drazhevo,Legacy verification,Burial Mound,Certain,Pasture,Pasture,2010-11-07,50,6,2,Looting,200025,NA,"S-N trench with tube, 2 m near mound",309.6090487217359,309.6090487217359,183.8367919921875,4.029935689638121,354.3368595715642,1.5793342590332031,0.67447662353515625,4.9919891357421875,39.57,62447.80368306195,10001374,NA,Unique,NA,Yes,Yes,4708542.0055,455169.2249999996
9319,Drazhevo,Legacy verification,Burial Mound,Certain,Annual agriculture,Pasture,2010-11-07,15,1,3,Agriculture,200026,NA,plughed over; Bara:ploughed over,255.70125255598947,255.70125255598947,189.19541931152344,0.36362055562552614,206.01045729960794,0.6076087951660156,0.1925201416015625,2.115936279296875,62.68,62718.161431708475,10001370,NA,Unique,NA,Yes,Yes,4708632.521199999,454360.76740000024
