"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","TopoID","Note","X","Y","OBJECTID","geometry"
"1",8021,"RS:FNEG","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"20",30,"0.3","5","Agriculture",0,"DM:cropmark, ploughed away pot.mnd",467721.506,4683680.3043,15,c(467721.506, 4683680.3043)
"2",8022,"RS:SITE","Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"20",20,"0.7","5","Agriculture",0,"DM:Probable - ploughed over
",467752.0261,4683731.6953,15,c(467752.0261, 4683731.6953)
"3",8023,"RS:SITE","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"25",25,"0.1","4","Agriculture",0,"DM:Probable - ploughed over",467714.5237,4683731.6827,15,c(467714.5237, 4683731.6827)
"4",8024,"RS:SITE","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"20",20,"0.5","5","Agriculture",0,"DM:Probable - ploughed over",467740.3494,4683761.544,15,c(467740.3494, 4683761.544)
"5",8025,"RS:SITE","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"20",20,"0.5","5","Agriculture",0,"DM:Probable - ploughed over",467690.3183,4683665.912,15,c(467690.3183, 4683665.912)
"6",8026,"RS:FNEG","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"20",20,"0.3","5","Agriculture",0,"DM:Possible - ploughed over",467638.1025,4683662.8215,15,c(467638.1025, 4683662.8215)
"7",8027,"RS:FNEG","Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"30",35,"1","4","Agriculture",0,"DM:Probable - ploughed over",467542.2453,4683520.5813,15,c(467542.2453, 4683520.5813)
"8",8028,"RS:FNEG","Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"40",40,"1","4","Agriculture",0,"DM:Certain - ploughed over",467741.3431,4683858.142,15,c(467741.3431, 4683858.142)
"9",8029,"RS:FNEG","Burial Mound","Annual agriculture","Annual agriculture",2009-11-22,"45",45,"1.5","3","Agriculture",0,"MND:Large mound NOT detected
",467742.9036,4684137.7641,15,c(467742.9036, 4684137.7641)
"10",8030,"RS:FNEG - duplicate 9358","Burial Mound","Annual agriculture","Pasture",2009-11-23,"40",40,"2.5","3","Post-depositional",0,"MND: Big mound",467947.5641,4678687.1331,15,c(467947.5641, 4678687.1331)
"11",8031,"RS:FNEG","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-23,"30",20,"0.5","3","Agriculture",0,"DM: Vry damaged mnd split by field division",468032.9464,4678871.4349,15,c(468032.9464, 4678871.4349)
"12",8032,"RS:FNEG","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-23,"30",30,"0.5","5","Agriculture",0,"DM: Vry damaged mnd split by field division",468062.7623,4678959.0181,15,c(468062.7623, 4678959.0181)
"13",8033,"RS:SITE","Burial Mound","Annual agriculture","Other",2009-11-23,"60",40,"6","5","Excavation",0,"DM:Agre exc mound - nothing left - had been lg mnd",473948.3738,4679608.2666,15,c(473948.3738, 4679608.2666)
"14",8034,"RS:SITE","Burial Mound","Forest","Forest",2009-11-23,"60",65,"8","2","Post-depositional",0,"MND: Large well-preserved mound
",467198.7896,4680950.5771,15,c(467198.7896, 4680950.5771)
"15",8035,"RS:SITE","Burial Mound","Forest","Scrub",2009-11-23,"50",45,"3","2?","Post-depositional",0,"MND: Large overgrown mound (fenced but visible)",467149.6741,4681019.1384,15,c(467149.6741, 4681019.1384)
"16",8036,"RS:SITE","Burial Mound","Annual agriculture","Annual agriculture",2009-11-24,"30",30,"0.7","4","Agriculture",200691,"One possible mnd, others potential undulations",476844.2582,4681458.1743,15,c(476844.2582, 4681458.1743)
"17",8037,"RS:SITE","Burial Mound","Pasture","Scrub",2009-11-24,"25",20,"2.5","5","Excavation",0,"DM:Excavated mound w/stone-lined chamber
",477036.2055,4681515.9,15,c(477036.2055, 4681515.9)
"18",8038,"RS:SITE","Extinct Burial Mound","Annual agriculture","Pasture",2009-11-24,"30",20,"0.3","4","Excavation/Looted?",0,"DM:Possible - completely robbes/excavated  mound
",476694.95,4681621.7682,15,c(476694.95, 4681621.7682)
"19",8039,"RS:FNEG","Burial Mound","Scrub","Scrub",2009-11-24,"40",50,"2","2","Looting",200693,"Med sized mound",476318.6462,4682130.8083,15,c(476318.6462, 4682130.8083)
"20",8041,"RS:SITE","Burial Mound","Pasture","Scrub",2009-11-24,"50",50,"4.5","2","Looting",200692,"recorded in RS 2009",475945.1152,4681468.5108,15,c(475945.1152, 4681468.5108)
"21",8043,"RS:SITE","Burial Mound","Scrub","Scrub",2009-11-24,"50",50,"8","2","Development",200695,"Kirilovite mogili",477177.521,4682041.2711,15,c(477177.521, 4682041.2711)
"22",8044,"RS:SITE","Burial Mound","Annual agriculture","Pasture",2009-11-24,"30",25,"1.5","3","Agriculture",200690,"Chervenite mogili, RS2009",478172.56,4681668.5087,15,c(478172.56, 4681668.5087)
"23",8045,"RS:FNEG","Burial Mound","Annual agriculture","Annual agriculture",2009-11-24,"20",15,"1","5","Agriculture",0,"MND:Small mound
",478123.7216,4681659.9195,15,c(478123.7216, 4681659.9195)
"24",8046,"RS:SITE","Burial Mound","Annual agriculture","Annual agriculture",2009-11-24,"30",20,"1.5","4","Agriculture",0,"MND:Small mound",478097.8658,4681652.5977,15,c(478097.8658, 4681652.5977)
"25",8047,"RS:SITE","Extinct Burial Mound","Annual agriculture","Pasture",2009-11-24,"20",20,"0.5","5","Military| Agriculture",200689,"Chervenite mogili, RS2009",478066.1396,4681595.5893,15,c(478066.1396, 4681595.5893)
"26",8048,"RS:FNEG","Burial Mound","Scrub","Pasture",2009-11-24,"30",30,"6","1","Development",0,"MND:Lg mound",478003.7813,4682575.8646,15,c(478003.7813, 4682575.8646)
"27",8049,"RS:FNEG","Burial Mound","Pasture","Pasture",2009-11-24,"30",30,"4","1","Development",200697,"recorded in RS2009, erroneously labeled 8021",478090.8489,4682598.3336,15,c(478090.8489, 4682598.3336)
"28",8050,"RS:FNEG","Burial Mound","Annual agriculture","Scrub",2009-11-24,"40",20,"0.7","4?","Agriculture",0,"MND: could not visit, saw from road",477782.2848,4683186.1415,15,c(477782.2848, 4683186.1415)
"29",6000,"survey","Burial Mound","Annual agriculture","Scrub",2009-10-12,"30",25,"2.5","1","Post-depositional",0,"Mound",468865.2505,4681853.4651,15,c(468865.2505, 4681853.4651)
"30",6001,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-12,"15",8,"0.5","1","Agriculture",0,"Mound",468928.8106,4681951.3902,15,c(468928.8106, 4681951.3902)
"31",6002,"survey","Burial Mound","Scrub","Scrub",2009-10-12,"48",45,"3.5","2","Post-depositional",200587,"recorded in 2009",468933.3723,4681997.9199,15,c(468933.3723, 4681997.9199)
"32",6003,"survey","Burial Mound","Scrub","Scrub",2009-10-13,"63",49,"6","1","Post-depositional",200621,"registed in 2009, topo point adjusted",469291.4426,4682195.9834,15,c(469291.4426, 4682195.9834)
"33",6004,"survey","Burial Mound","Forest","Forest",2009-10-13,"12",11,"0.5","5","Looting",0,"Mound",468027.5562,4681490.9333,15,c(468027.5562, 4681490.9333)
"34",6005,"survey","Burial Mound","Forest","Forest",2009-10-13,"35",25,"2","3","Looting",200588,"recorded in 2009",468107.032,4681540.9442,15,c(468107.032, 4681540.9442)
"35",6006,"survey","Burial Mound","Forest","Forest",2009-10-13,"45",33,"1.5","2","Looting",200589,"Recorded in 2009",468065.6919,4681481.5178,15,c(468065.6919, 4681481.5178)
"36",6009,"survey","Burial Mound","Scrub","Scrub",2009-10-20,"22",16,"1.5","3","Post-depositional | Looting",200618,"recorded in 2009",469902.7417,4681058.2988,15,c(469902.7417, 4681058.2988)
"37",6010,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-26,"13",12,"0.5","5","Agriculture",200593,NA,466980.5754,4679604.9978,15,c(466980.5754, 4679604.9978)
"38",6011,"survey","Burial Mound","Annual agriculture","Other",2009-10-27,"56",44,"1","5","Excavation",0,"Mound",468124.9271,4679138.5011,15,c(468124.9271, 4679138.5011)
"39",6012,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-10-27,"28",25,"0.5","5","Agriculture",200594,"recorded in 2009",468479.0927,4679869.2547,15,c(468479.0927, 4679869.2547)
"40",6013,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-10-28,"8",6,"1","1","Agriculture",0,"Mound",467720.3545,4677892.0964,15,c(467720.3545, 4677892.0964)
"41",6015,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"65",55,"2","4","Agriculture",200659,"recorded in 2009",475566.3327,4683141.7096,15,c(475566.3327, 4683141.7096)
"42",6016,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"57",42,"1.5","4","Agriculture",200656,"recorded in 2009",475729.1093,4683476.3059,15,c(475729.1093, 4683476.3059)
"43",6017,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-02,"67",60,"5","4","Agriculture",200696,"recorded in 2009",475952.8624,4683745.672,15,c(475952.8624, 4683745.672)
"44",6019,"survey","Burial Mound","Annual agriculture","Scrub",2009-11-05,"77",77,"10","2","Post-depositional",200592,"Registed in 2009 season",467339.0597,4680881.9683,15,c(467339.0597, 4680881.9683)
"45",6020,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-05,"30",30,"0.5","5","Agriculture",0,"Mound",467276.3447,4680734.3649,15,c(467276.3447, 4680734.3649)
"46",6022,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-06,"38",38,"2","5","Agriculture",200698,"recorded in 2009",476883.0142,4684663.2151,15,c(476883.0142, 4684663.2151)
"47",6023,"survey","Extinct Burial Mound","Annual agriculture","Scrub",2009-11-07,"17",6,"0.5","5","Looting | Agriculture",0,"Mound",474518.7522,4682477.3703,15,c(474518.7522, 4682477.3703)
"48",6024,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-11-07,"20",20,"0.3","5","Agriculture",0,"Mound",474657.824,4682420.1391,15,c(474657.824, 4682420.1391)
"49",6025,"survey","Burial Mound","Annual agriculture","Annual agriculture",2009-11-07,"40",40,"0.8","5","Agriculture",200660,"recorded in 2009",474545.7495,4682263.2975,15,c(474545.7495, 4682263.2975)
"50",7001,"survey","Burial Mound","Annual agriculture","Scrub",2009-10-12,"20",15,"1.5","1","Post-depositional",0,"Mound",467633.5007,4680826.3169,15,c(467633.5007, 4680826.3169)
"51",7002,"survey","Extinct Burial Mound","Annual agriculture","Annual agriculture",2009-10-12,"10",10,"0.5","5","Agriculture",0,"Mound",468895.7372,4681870.0745,15,c(468895.7372, 4681870.0745)
