"","TRAP","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact"
"1",8021,"RS:FNEG","Extinct Burial Mound","Annual","Annual",2009-11-22,"20",30,"0.3","5","Agriculture"
"2",8022,"RS:SITE","Burial Mound","Annual","Annual",2009-11-22,"20",20,"0.7","5","Agriculture"
"3",8023,"RS:SITE","Extinct Burial Mound","Annual","Annual",2009-11-22,"25",25,"0.1","4","Agriculture"
"4",8024,"RS:SITE","Extinct Burial Mound","Annual","Annual",2009-11-22,"20",20,"0.5","5","Agriculture"
"5",8025,"RS:SITE","Extinct Burial Mound","Annual","Annual",2009-11-22,"20",20,"0.5","5","Agriculture"
"6",8026,"RS:FNEG","Extinct Burial Mound","Annual","Annual",2009-11-22,"20",20,"0.3","5","Agriculture"
"7",8027,"RS:FNEG","Burial Mound","Annual","Annual",2009-11-22,"30",35,"1","4","Agriculture"
"8",8028,"RS:FNEG","Burial Mound","Annual","Annual",2009-11-22,"40",40,"1","4","Agriculture"
"9",8029,"RS:FNEG","Burial Mound","Annual","Annual",2009-11-22,"45",45,"1.5","3","Agriculture"
"10",8030,"RS:FNEG - duplicate 9358","Burial Mound","Annual","Pasture",2009-11-23,"40",40,"2.5","3","Post-depositional"
"11",8031,"RS:FNEG","Extinct Burial Mound","Annual","Annual",2009-11-23,"30",20,"0.5","3","Agriculture"
"12",8032,"RS:FNEG","Extinct Burial Mound","Annual","Annual",2009-11-23,"30",30,"0.5","5","Agriculture"
"13",8033,"RS:SITE","Burial Mound","Annual","Other",2009-11-23,"60",40,"6","5","Excavation"
"14",8034,"RS:SITE","Burial Mound","Forest","Forest",2009-11-23,"60",65,"8","2","Post-depositional"
"15",8035,"RS:SITE","Burial Mound","Forest","Scrub",2009-11-23,"50",45,"3","2?","Post-depositional"
"16",8036,"RS:SITE","Burial Mound","Annual","Annual",2009-11-24,"30",30,"0.7","4","Agriculture"
"17",8037,"RS:SITE","Burial Mound","Pasture","Scrub",2009-11-24,"25",20,"2.5","5","Excavation"
"18",8038,"RS:SITE","Extinct Burial Mound","Annual","Pasture",2009-11-24,"30",20,"0.3","4","Excavation/Looted?"
"19",8039,"RS:FNEG","Burial Mound","Scrub","Scrub",2009-11-24,"40",50,"2","2","Looting"
"20",8041,"RS:SITE","Burial Mound","Pasture","Scrub",2009-11-24,"50",50,"4.5","2","Looting"
"21",8043,"RS:SITE","Burial Mound","Scrub","Scrub",2009-11-24,"50",50,"8","2","Development"
"22",8044,"RS:SITE","Burial Mound","Annual","Pasture",2009-11-24,"30",25,"1.5","3","Agriculture"
"23",8045,"RS:FNEG","Burial Mound","Annual","Annual",2009-11-24,"20",15,"1","5","Agriculture"
"24",8046,"RS:SITE","Burial Mound","Annual","Annual",2009-11-24,"30",20,"1.5","4","Agriculture"
"25",8047,"RS:SITE","Extinct Burial Mound","Annual","Pasture",2009-11-24,"20",20,"0.5","5","Military| Agriculture"
"26",8048,"RS:FNEG","Burial Mound","Scrub","Pasture",2009-11-24,"30",30,"6","1","Development"
"27",8049,"RS:FNEG","Burial Mound","Pasture","Pasture",2009-11-24,"30",30,"4","1","Development"
"28",8050,"RS:FNEG","Burial Mound","Annual","Scrub",2009-11-24,"40",20,"0.7","4?","Agriculture"
"29",8051,"2010LGV","Burial Mound","Annual","Annual",2010-11-17,"35",25,"2","5","Agriculture"
"30",6000,"survey","Burial Mound","Fallow","Scrub",2009-10-12,"30",25,"2.5","1","Post-depositional"
"31",6001,"survey","Burial Mound","Annual","Annual",2009-10-12,"15",8,"0.5","1","Agriculture"
"32",6002,"survey","Burial Mound","Scrub","Scrub",2009-10-12,"48",45,"3.5","2","Post-depositional"
"33",6003,"survey","Burial Mound","Scrub","Scrub",2009-10-13,"63",49,"6","1","Post-depositional"
"34",6004,"survey","Burial Mound","Forest","Forest",2009-10-13,"12",11,"0.5","5","Looting"
"35",6005,"survey","Burial Mound","Forest","Forest",2009-10-13,"35",25,"2","3","Looting"
"36",6006,"survey","Burial Mound","Forest","Forest",2009-10-13,"45",33,"1.5","2","Looting"
"37",6009,"survey","Burial Mound","Scrub","Scrub",2009-10-20,"22",16,"1.5","3","Post-depositional | Looting"
"38",6010,"survey","Burial Mound","Annual","Annual",2009-10-26,"13",12,"0.5","5","Agriculture"
"39",6011,"survey","Burial Mound","Annual","Other",2009-10-27,"56",44,"1","5","Excavation"
"40",6012,"survey","Extinct Burial Mound","Annual","Annual",2009-10-27,"28",25,"0.5","5","Agriculture"
"41",6013,"survey","Burial Mound","Annual","Annual",2009-10-28,"8",6,"1","1","Agriculture"
"42",6015,"survey","Burial Mound","Annual","Annual",2009-11-02,"65",55,"2","4","Agriculture"
