TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact,AllNotes
8570,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-12,42,NA,0.5,4 - seriously damaged,Anthropogenic,
8733,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-12,35,20,0.7,4 - seriously damaged,Agriculture,"grassland,lozenge shaped"
8571,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-12,32,NA,0.2,5 - extinct or near extinct,Agriculture,"very destroyed, very hard to find the exact border"
8734,Survey,Burial Mound,Annual agriculture,Annual agriculture,2022-09-12,25,17,1.1,3 - damaged,Agriculture,
8572,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-12,41,NA,2.2,2 - minor damage,Post-depositional,"grassland,grassland,round"
8735,Legacy verification,Burial Mound,Forest,Forest,2022-09-12,40,NA,6,3 - damaged,Looting,
8573,Survey,Burial Mound,Scrub,Pasture,2022-09-12,33,NA,4,4 - seriously damaged,Looting,"grassland,round"
8736,Legacy verification,Burial Mound,Forest,Forest,2022-09-12,20,13,0.5,5 - extinct or near extinct,Looting?,
8574,Survey,Burial Mound,Scrub,Pasture,2022-09-12,36,NA,4.5,4 - seriously damaged,Looting,"grassland,round"
8737,Legacy verification,Burial Mound,Forest,Scrub,2022-09-12,50,NA,6,2 - minor damage,Looting,
8575,Survey,Uncertain Feature,Annual agriculture,Pasture,2022-09-12,21,NA,0.3,3 - damaged,Agriculture,grassland
8576,Survey,Extinct Burial Mound,Pasture,Pasture,2022-09-12,15,NA,0.3,5 - extinct or near extinct,Erosion,"grassland,grassland,round and very flat"
8577,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-12,35,NA,3,3 - damaged,Looting,round
8738,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-12,25,25,4,2 - minor damage,Looting,"grassland,grassland"
8739,Survey,Uncertain Feature,Annual agriculture,Annual agriculture,2022-09-12,70,50,2,3 - damaged,Agriculture,Round
8578,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-12,26,NA,1,4 - seriously damaged,Looting,"grassland,grassland"
8740,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-12,28,12,4,3 - damaged,Other (military),
8579,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-12,36,NA,1.2,3 - damaged,Agriculture,
8741,Survey,Burial Mound?,Annual agriculture,Scrub,2022-09-12,35,25,2,3 - damaged,Looting,round
8580,Survey,Burial Mound,Pasture,Scrub,2022-09-12,17,NA,0.5,3 - damaged,Animal activity,grassland
9740,Survey,Burial Mound,Annual agriculture,Scrub,2022-09-12,25,20,2.5,3 - damaged,Other (Military activity),round shape
9825,Legacy verification,Tell,Pasture,Pasture,2022-09-13,100,NA,7,2 - minor damage,Excavation?,"settlement mound),grassland,grassland,Round"
8581,Legacy verification,Burial Mound,Forest,Scrub,2022-09-13,25,NA,1.7,3 - damaged,Looting,
8582,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-13,30,NA,1.7,3 - damaged,Looting,grassland
9827,Legacy verification,Extinct Burial Mound,Forest,Pasture,2022-09-13,30,NA,1,5 - extinct or near extinct,Other (Cut made by a machine. Soil moved to the north and south east. ),"grassland,round with minimal sloping to the south west."
8583,Legacy verification,Burial Mound,Pasture,Annual agriculture,2022-09-13,40,NA,5,3 - damaged,Looting,grassland
8584,Legacy verification,Burial Mound,Forest,Scrub,2022-09-13,30,NA,4,4 - seriously damaged,Looting,
8585,Legacy verification,Burial Mound,Forest,Forest,2022-09-13,18,NA,1.5,3 - damaged,Looting,
8586,Legacy verification,Burial Mound,Forest,Forest,2022-09-13,36,NA,4,3 - damaged,Looting,
8587,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-13,0,NA,0,0 - No observation,Agriculture,
9828,Legacy verification,Uncertain Feature,Forest,Pasture,2022-09-13,14,NA,2.5,3 - damaged,Looting (Probably treasure hunters trench),"Adela 27 Dec: Extinct Burial Mound?,grassland,round"
8588,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-13,25,NA,0.5,4 - seriously damaged,Agriculture,
8589,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-13,0,NA,0,0 - No observation,Agriculture,
8590,Legacy verification,Burial Mound,Forest,Forest,2022-09-13,20,NA,2.5,4 - seriously damaged,Looting,
9744,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-13,90,NA,0.5,3 - damaged,Agriculture,
8742,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,40,30,1.8,3 - damaged,Looting,"grassland,Irregular oblong shape and surface not even."
8743,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,25,17,4.5,3 - damaged (01 trench is minor damage. the geodetic marker also creates damage ),Looting,"grassland (Some scrub on top of mound,Mound on a hilltop."
8591,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-14,30,NA,2.5,3 - damaged,Looting,grassland
8744,Survey,Burial Mound?,Scrub,Pasture,2022-09-14,15,8,1.2,3 - damaged,Looting,grassland
8592,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-14,25,NA,1.7,3 - damaged,Construction,grassland
8745,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,16,NA,3,2 - minor damage,Looting,"grassland (Scrub also. Half grass half scrub.,round"
