TRAP,createdBy,Date,Type,AllNotes,Source,DescriptionOfMoundOrLocale,LU_Around,LU_Top,Latitude,Longitude,Northing,Easting,Accuracy,FacingDirectionForPhoto,HeightMax,DiameterMax,HeightMin,DiameterMin,OtherDimension,AssociatedFeatureOrMaterial,SurfaceMaterialDescription,SampleCollected,ChronologyEstimate,AssociatedFeatureOrMaterialPhoto,Condition,DamageNotes,PrincipalSourceOfImpact,OtherSourcesOfImpact,ArchaeologicalPotential,MostRecentDamageWhat,MostRecentDamageWithin,RTDescription,CommentsAndRecommendations,CRMPhotos,geospatialcolumn
9500,Vera Dolezalkova,2017-09-08,Burial Mound,local maximum,Legacy verification,nearly extinct plowed up mound,Annual agriculture,Annual agriculture,42.37472892,26.13517719,4691745.489,428798.9281,3,Northeast,1.6,70,NA,55,NA,Loose artefacts,"knidos amphora toe. in modern trash. we are ne of the mound,where is the greyish pottery scatter in 


photo no. 0958096009620963 
east Aegean amph, herakleia",No,"hell.,based on knidos amphora toe",files/app/5bbae421-7bc2-4264-9311-11408f68eb53_image-1504868658938.original.jpg,4 - seriously damaged,,Agriculture,modern trash spread mostly in he direction from the mound,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(428798.928102 4691745.489463)
9501,Vera Dolezalkova,2017-09-08,Burial Mound,,Legacy verification,NA,Annual agriculture,Annual agriculture,42.37343225,26.13350168,4691602.917,428659.5142,3,Northeast,0.8,35,NA,25,NA,NA,none,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,none,NA,NA,POINT(428659.514195 4691602.916519)
9502,Vera Dolezalkova,2017-09-08,Burial Mound,"typical dispersion of white limestone (chorosan)

photos: 973974",Legacy verification,NA,Annual agriculture,Annual agriculture,42.36523758,26.16158218,4690669.819,430962.4784,3,Southeast,1.3,45,NA,40,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,3 - impaired,Agriculture,Last month,NA,NA,NA,POINT(430962.478425 4690669.819039)
9503,Vera Dolezalkova,2017-09-08,Burial Mound,"975,976",Legacy verification,NA,Annual agriculture,Annual agriculture,42.37050762,26.15960901,4691256.594,430805.7855,3,Northeast,1,40,NA,30,NA,NA,NA,No,NA,NA,3 - damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(430805.785525 4691256.593571)
9504,Vera Dolezalkova,2017-09-08,Uncertain Mound,uncertain diameter,Legacy verification,"identified based on soil marks, the soil color is light brown (contrast to surrounding dark brown), same as mound 9505; situated between 9505,9506",Annual agriculture,Annual agriculture,42.37431681,26.16438921,4691675.675,431203.5274,3,North,1.8,30,0.2,25,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Agriculture,NA,4 - minimal,Agriculture,Last month,NA,NA,NA,POINT(431203.527396 4691675.675371)
9505,Vera Dolezalkova,2017-09-08,Burial Mound,uncertain diameter,Legacy verification,soil mark of a light brown color,Annual agriculture,Annual agriculture,42.37405241,26.1651599,4691645.693,431266.6908,3,Northeast,2,40,1,30,NA,Other,one possibly Roman sherd found at the west foothill,No,Roman,NA,3 - damaged,,Agriculture,NA,2 - good,Agriculture,Last month,NA,NA,NA,POINT(431266.690793 4691645.693187)
9506,Vera Dolezalkova,2017-09-08,Burial Mound,"grassland,photo 989",Legacy verification,NA,Annual agriculture,Pasture,42.37497185,26.16452806,4691748.297,431215.6739,3,North,5,40,NA,35,NA,NA,NA,No,NA,NA,2 - minor damage,,Animal activity,old robbers trenches,1 - full,Animal activity,Last week,"[01, r = 2,5, h 0,5, west side]",photo 1= bioturbation; photo2=old rt,files/app/adc13478-5795-4d97-8f79-457dabf9ca69_image-1504877989513.original.jpg - files/app/beb62fdb-e3d9-45eb-8334-6be7c0be5053_image-1504878053695.original.jpg,POINT(431215.673914 4691748.296506)
9507,Vera Dolezalkova,2017-09-10,Burial Mound,"grassland,grassland,photo 995",Legacy verification,NA,Pasture,Pasture,42.4036724,26.13264363,4694961.43,428623.1401,3,West,3,25,2.3,30,NA,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,1 - full,Looting,Unknown,"sw slope of the mound, in se-sw direction for 25 m, 5 m wide, depth 2m",NA,NA,POINT(428623.140094 4694961.429666)
9508,Vera Dolezalkova,2017-09-10,Burial Mound,"grassland,grassland",Legacy verification,NA,Pasture,Pasture,42.40357143,26.1330311,4694949.892,428654.9117,3,Southwest,1.6,17,NA,12,NA,NA,NA,No,NA,NA,4 - seriously damaged,,Looting,NA,4 - minimal,Looting,Unknown,2 x 4 metres placed top south,NA,files/app/73c7e7b6-6aff-44e0-8224-e1b2730ff481_image-1505020535905.original.jpg - files/app/aead0a21-cb13-4247-80a4-303025b42b13_image-1505020565389.original.jpg,POINT(428654.911662 4694949.892234)
9509,Vera Dolezalkova,2017-09-10,Burial Mound,"grassland,grassland",Legacy verification,NA,Pasture,Pasture,42.40357623,26.13337097,4694950.14,428682.8858,3,East,0.3,17,NA,10,NA,NA,NA,No,NA,NA,5 - extinct or near extinct,,Looting,NA,4 - minimal,Looting,Unknown,East foot hill of the mound robbers trench. measurement: 2Ã—1 0.5d,NA,files/app/92a44ee3-b8b1-43cc-a94e-2274e0c0f3af_image-1505021628259.original.jpg,POINT(428682.885849 4694950.139774)
8100,Bara Weissova,2017-09-10,Burial Mound,"grassland,grassland,local ridge",Legacy verification,NA,Pasture,Pasture,42.40222518,26.13370833,4694799.84,428709.119,3,North,4,35,NA,NA,35 X 35,NA,NA,No,NA,NA,2 - minor damage,,Looting,NA,1 - full,Looting,Last year,"01,rectangle,2,1,1,manual excavation; 02, rectangle,2.5,2, 1, manual excavation; 03,square, 1,1, manual excavation; 04,square,1, 0.5, manual excavation; 05,irregular,1,3, 1, manual excavation.",NA,files/app/1d3ba251-e7eb-4e4b-8ee0-f38956d0effd_image-1505023770466.original.jpg - files/app/a16eb53b-7bee-4ed9-b6cc-2ff21019ce40_image-1505023699559.original.jpg,POINT(428709.118957 4694799.839653)
