TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
8570,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-12,42,NA,0.5,4,Anthropogenic
8733,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-12,35,20,0.7,4,Agriculture
8571,Survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-12,32,NA,0.2,5,Agriculture
8734,Survey,Burial Mound,Annual agriculture,Annual agriculture,2022-09-12,25,17,1.1,3,Agriculture
8572,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-12,41,NA,2.2,2,Post-depositional
8735,Legacy verification,Burial Mound,Forest,Forest,2022-09-12,40,NA,6,3,Looting
8573,Survey,Burial Mound,Scrub,Pasture,2022-09-12,33,NA,4,4,Looting
8736,Legacy verification,Burial Mound,Forest,Forest,2022-09-12,20,13,0.5,5,Looting?
8574,Survey,Burial Mound,Scrub,Pasture,2022-09-12,36,NA,4.5,4,Looting
8737,Legacy verification,Burial Mound,Forest,Scrub,2022-09-12,50,NA,6,2,Looting
8575,Survey,Uncertain Feature,Annual agriculture,Pasture,2022-09-12,21,NA,0.3,3,Agriculture
8576,Survey,Extinct Burial Mound,Pasture,Pasture,2022-09-12,15,NA,0.3,5,Erosion
8577,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-12,35,NA,3,3,Looting
8738,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-12,25,25,4,2,Looting
8739,Survey,Uncertain Feature,Annual agriculture,Annual agriculture,2022-09-12,70,50,2,3,Agriculture
8578,Legacy verification,Burial Mound,Pasture,Pasture,2022-09-12,26,NA,1,4,Looting
8740,Legacy verification,Burial Mound,Scrub,Scrub,2022-09-12,28,12,4,3,Other (military)
8579,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-12,36,NA,1.2,3,Agriculture
8741,Survey,Burial Mound?,Annual agriculture,Scrub,2022-09-12,35,25,2,3,Looting
8580,Survey,Burial Mound,Pasture,Scrub,2022-09-12,17,NA,0.5,3,Animal activity
9740,Survey,Burial Mound,Annual agriculture,Scrub,2022-09-12,25,20,2.5,3,Other (Military activity)
9825,Legacy verification,Tell,Pasture,Pasture,2022-09-13,100,NA,7,2,Excavation?
8581,Legacy verification,Burial Mound,Forest,Scrub,2022-09-13,25,NA,1.7,3,Looting
8582,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-13,30,NA,1.7,3,Looting
9827,Legacy verification,Extinct Burial Mound,Forest,Pasture,2022-09-13,30,NA,1,5,Other (Cut made by a machine. Soil moved to the north and south east. )
8583,Legacy verification,Burial Mound,Pasture,Annual agriculture,2022-09-13,40,NA,5,3,Looting
8584,Legacy verification,Burial Mound,Forest,Scrub,2022-09-13,30,NA,4,4,Looting
8585,Legacy verification,Burial Mound,Forest,Forest,2022-09-13,18,NA,1.5,3,Looting
8586,Legacy verification,Burial Mound,Forest,Forest,2022-09-13,36,NA,4,3,Looting
8587,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-13,0,NA,0,"NA",Agriculture
9828,Legacy verification,Uncertain Feature,Forest,Pasture,2022-09-13,14,NA,2.5,3,Looting (Probably treasure hunters trench)
8588,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-13,25,NA,0.5,4,Agriculture
8589,Legacy verification,Extinct Burial Mound,Annual agriculture,Annual agriculture,2022-09-13,0,NA,0,"NA",Agriculture
8590,Legacy verification,Burial Mound,Forest,Forest,2022-09-13,20,NA,2.5,4,Looting
9744,Survey,Surface Scatter,Annual agriculture,Annual agriculture,2022-09-13,90,NA,0.5,3,Agriculture
8742,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,40,30,1.8,3,Looting
8743,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,25,17,4.5,3,Looting
8591,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-14,30,NA,2.5,3,Looting
8744,Survey,Burial Mound?,Scrub,Pasture,2022-09-14,15,8,1.2,3,Looting
8592,Legacy verification,Burial Mound,Annual agriculture,Pasture,2022-09-14,25,NA,1.7,3,Construction
8745,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,16,NA,3,2,Looting
8746,Survey,Uncertain Feature,Scrub,Pasture,2022-09-14,12,10,0.7,5,Looting
8593,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-14,20,NA,1.5,2,Animal activity
8594,Legacy verification,Burial Mound,Annual agriculture,Scrub,2022-09-14,15,NA,0.5,2,Animal activity
8747,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,14,10,1.2,2,Other (Geodetic marker on top of the mound )
8595,Legacy verification,Other,Scrub,Scrub,2022-09-14,5,NA,3,2,Erosion
8748,Survey,Other,Scrub,Pasture,2022-09-14,14,10,2,1,Other (military and vegetation )
8596,Legacy verification,Extinct Burial Mound,Scrub,Scrub,2022-09-14,10,NA,0,"NA",Natural
8749,Legacy verification,Burial Mound,Pasture,Scrub,2022-09-14,25,NA,4.5,4,Looting
8750,Legacy verification,Burial Mound,Scrub,Pasture,2022-09-14,15,12,4,2,Road cut
8751,Legacy verification,Other,Perennial agriculture,Pasture,2022-09-14,14,12,1.2,2,Other (geodetic marker)
8597,Legacy verification,Other,Forest,Forest,2022-09-14,0,NA,0,"NA",No observation
