TRAP,Source,Type,LU_Around,LU_Top,Date,DiameterMax,DiameterMin,HeightMax,Condition,PrincipalSourceOfImpact
8021,RS:FNEG,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,20,,0.3,5,Agriculture
8022,RS:SITE,Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,20,,0.7,5,Agriculture
8023,RS:SITE,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,25,,0.1,4,Agriculture
8024,RS:SITE,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,20,,0.5,5,Agriculture
8025,RS:SITE,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,20,,0.5,5,Agriculture
8026,RS:FNEG,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,20,,0.3,5,Agriculture
8027,RS:FNEG,Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,30,,1,4,Agriculture
8028,RS:FNEG,Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,40,,1,4,Agriculture
8029,RS:FNEG,Burial Mound,Annual agriculture,Annual agriculture,2009-11-22,45,,1.5,3,Agriculture
8030,RS:FNEG - duplicate 9358,Burial Mound,Annual agriculture,Pasture,2009-11-23,40,,2.5,3,Post-depositional
8031,RS:FNEG,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-23,30,,0.5,3,Agriculture
8032,RS:FNEG,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-23,30,,0.5,5,Agriculture
8033,RS:SITE,Burial Mound,Annual agriculture,Other,2009-11-23,60,,6,5,Excavation
8034,RS:SITE,Burial Mound,Forest,Forest,2009-11-23,60,,8,2,Post-depositional
8035,RS:SITE,Burial Mound,Forest,Scrub,2009-11-23,50,,3,2?,Post-depositional
8036,RS:SITE,Burial Mound,Annual agriculture,Annual agriculture,2009-11-24,30,,0.7,4,Agriculture
8037,RS:SITE,Burial Mound,Pasture,Scrub,2009-11-24,25,,2.5,5,Excavation
8038,RS:SITE,Extinct Burial Mound,Annual agriculture,Pasture,2009-11-24,30,,0.3,4,Excavation/Looted?
8039,RS:FNEG,Burial Mound,Scrub,Scrub,2009-11-24,40,,2,2,Looting
8041,RS:SITE,Burial Mound,Pasture,Scrub,2009-11-24,50,,4.5,2,Looting
8043,RS:SITE,Burial Mound,Scrub,Scrub,2009-11-24,50,,8,2,Development
8044,RS:SITE,Burial Mound,Annual agriculture,Pasture,2009-11-24,30,,1.5,3,Agriculture
8045,RS:FNEG,Burial Mound,Annual agriculture,Annual agriculture,2009-11-24,20,,1,5,Agriculture
8046,RS:SITE,Burial Mound,Annual agriculture,Annual agriculture,2009-11-24,30,,1.5,4,Agriculture
8047,RS:SITE,Extinct Burial Mound,Annual agriculture,Pasture,2009-11-24,20,,0.5,5,Military| Agriculture
8048,RS:FNEG,Burial Mound,Scrub,Pasture,2009-11-24,30,,6,1,Development
8049,RS:FNEG,Burial Mound,Pasture,Pasture,2009-11-24,30,,4,1,Development
8050,RS:FNEG,Burial Mound,Annual agriculture,Scrub,2009-11-24,40,,0.7,4?,Agriculture
6000,survey,Burial Mound,Annual agriculture,Scrub,2009-10-12,30,,2.5,1,Post-depositional
6001,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-12,15,,0.5,1,Agriculture
6002,survey,Burial Mound,Scrub,Scrub,2009-10-12,48,,3.5,2,Post-depositional
6003,survey,Burial Mound,Scrub,Scrub,2009-10-13,63,,6,1,Post-depositional
6004,survey,Burial Mound,Forest,Forest,2009-10-13,12,,0.5,5,Looting
6005,survey,Burial Mound,Forest,Forest,2009-10-13,35,,2,3,Looting
6006,survey,Burial Mound,Forest,Forest,2009-10-13,45,,1.5,2,Looting
6009,survey,Burial Mound,Scrub,Scrub,2009-10-20,22,,1.5,3,Post-depositional | Looting
6010,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-26,13,,0.5,5,Agriculture
6011,survey,Burial Mound,Annual agriculture,Other,2009-10-27,56,,1,5,Excavation
6012,survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-10-27,28,,0.5,5,Agriculture
6013,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-28,8,,1,1,Agriculture
6015,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,65,,2,4,Agriculture
6016,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,57,,1.5,4,Agriculture
6017,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,67,,5,4,Agriculture
6019,survey,Burial Mound,Annual agriculture,Scrub,2009-11-05,77,,10,2,Post-depositional
6020,survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-05,30,,0.5,5,Agriculture
6022,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-06,38,,2,5,Agriculture
6023,survey,Extinct Burial Mound,Annual agriculture,Scrub,2009-11-07,17,,0.5,5,Looting | Agriculture
6024,survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-11-07,20,,0.3,5,Agriculture
6025,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-07,40,,0.8,5,Agriculture
7001,survey,Burial Mound,Annual agriculture,Scrub,2009-10-12,20,,1.5,1,Post-depositional
7002,survey,Extinct Burial Mound,Annual agriculture,Annual agriculture,2009-10-12,10,,0.5,5,Agriculture
7003,survey,Burial Mound,Scrub,Scrub,2009-10-12,30,,5,2,Post-depositional
7004,survey,Burial Mound,Scrub,Scrub,2009-10-20,40,,3.5,1,Post-depositional
7005,survey,Burial Mound,Annual agriculture,Scrub,2009-10-21,35,,2.5,5,Agriculture | Looting
7006,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-22,20,,1,5,Agriculture
7007,survey,Burial Mound,Annual agriculture,Pasture,2009-10-26,35,,2,5,Agriculture | Looting
7010,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,35,,1.5,2,Agriculture
7011,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,45,,1.5,5,Agriculture
7012,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,50,,2.5,2,Agriculture
7013,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,40,,1,5,Agriculture
7014,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-02,35,,0.7,5,Agriculture
7015,survey,Burial Mound,Annual agriculture,Pasture,2009-11-05,18,,1,3,Post-depositional
7016,survey,Burial Mound,Annual agriculture,Scrub,2009-11-06,35,,5,2,Looting
7017,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-07,45,,1,3?,Agriculture
7018,survey,Uncertain Mound,Annual agriculture,Scrub,2009-11-09,12,,0.7,5,Agriculture
7021,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,25,,3,3?,Agriculture
7022,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,20,,2,3?,Agriculture
8000,survey,Burial Mound,Annual agriculture,Pasture,2009-10-12,50,,6,2,Looting
8004,survey,Burial Mound,Scrub,Pasture,2009-10-12,46,,7,1,Post-depositional
8006,survey,Burial Mound,Annual agriculture,Pasture,2009-10-13,37,,6,1,Post-depositional
8007,survey,Burial Mound,Pasture,Pasture,2009-10-20,15,,4.5,1,Post-depositional | Development
8008,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-21,20,,4,5,Agriculture
8009,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-21,16,,4,4,Agriculture
8010,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-10-27,30,,3,4,Agriculture
8013,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,35,,0.5,5,Agriculture
8014,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,35,,1,4,Agriculture
8015,survey,Burial Mound,Annual agriculture,Annual agriculture,2009-11-13,40,,1.1,4,Agriculture | Development
8017,survey,Burial Mound,Pasture,Scrub,2009-11-14,30,,3,4,Looting
6030,survey,Burial Mound,Pasture,Scrub,2010-10-22,34,,4,2,Looting
8051,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,NA,35,,2,3,Looting
