"","TopoID","Note","TRAP","X","Y","Source","Type","LU_Around","LU_Top","Date","DiameterMax","DiameterMin","HeightMax","Condition","PrincipalSourceOfImpact","geometry"
"2",200016,NA,9411,453727.1017,4706736.7735,"Survey","Burial Mound","Scrub","Scrub",NA,"15",15,"1.5","2","Nodata",c(453727.1017, 4706736.7735)
"3",200018,NA,9416,452999.1197,4707739.1148,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"20",20,"2","3","Agriculture",c(452999.1197, 4707739.1148)
"4",200019,NA,9417,452996.9503,4707823.482,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"15",15,"2","4","Looting",c(452996.9503, 4707823.482)
"5",200020,NA,9409,454596.0148,4707387.6436,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"30",30,"2","2","Agriculture",c(454596.0148, 4707387.6436)
"6",200022,NA,9314,453591.2748,4706446.6945,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"30",30,"2","5","Looting",c(453591.2748, 4706446.6945)
"7",200023,NA,9315,453884.8248,4706455.1565,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"20",20,"1","2","Looting",c(453884.8248, 4706455.1565)
"8",200024,NA,9415,453042.7758,4705682.3939,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",NA,"25",25,"1","5","Agriculture",c(453042.7758, 4705682.3939)
"9",200025,NA,9418,455169.225,4708542.0055,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"50",50,"6","2","Looting",c(455169.225, 4708542.0055)
"10",200026,NA,9319,454360.7674,4708632.5212,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"15",15,"1","3","Agriculture",c(454360.7674, 4708632.5212)
"13",200029,NA,9431,455348.259,4711124.5897,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"20",20,"2","5","Looting",c(455348.259, 4711124.5897)
"28",200080,NA,9430,455447.0054,4711056.8619,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"10",10,NA,"5","Looting",c(455447.0054, 4711056.8619)
"29",200084,NA,9427,457299.0553,4710154.2866,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"23",23,NA,"6","Agriculture",c(457299.0553, 4710154.2866)
"30",200085,"Highway",9428,457213.1636,4710086.421,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,NA,NA,NA,"6","Agriculture",c(457213.1636, 4710086.421)
"31",200089,NA,9325,457983.105,4709902.0102,"Legacy verification","Extinct Burial Mound","Pasture","Pasture",NA,"10",10,"0.5","5","Looting",c(457983.105, 4709902.0102)
"32",200090,NA,9326,458325.457,4709905.2659,"Legacy verification","Burial Mound","Pasture","Pasture",NA,"25",25,"3","1","Looting",c(458325.457, 4709905.2659)
"33",200091,NA,9426,457716.5261,4708575.6075,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"0.7","5","Agriculture",c(457716.5261, 4708575.6075)
"34",200092,NA,9424,457717.0106,4708448.1471,"Survey","Burial Mound","Annual agriculture","Annual agriculture",NA,"10",10,NA,"5","Nodata",c(457717.0106, 4708448.1471)
"35",200093,NA,9425,457781.6624,4708451.2914,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"20",20,"0.5","5","Agriculture",c(457781.6624, 4708451.2914)
"36",200094,NA,9323,457691.1375,4708198.8668,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture",NA,"40",40,"0.4","5","Agriculture",c(457691.1375, 4708198.8668)
"37",200097,NA,9419,455387.4026,4708062.5047,"Legacy verification","Burial Mound","Annual agriculture","Scrub",NA,"25",25,"4.5","2","Nodata",c(455387.4026, 4708062.5047)
"38",200099,NA,9423,456857.7268,4707887.0399,"Legacy verification","Burial Mound","Annual agriculture","Pasture",NA,"60",60,"12","1","Nodata",c(456857.7268, 4707887.0399)
